IDK;NCTR;NCTN;ESC;OGTD;OGTT;OGTR;QNTN;SGTI;SGTT;PVCS;PVCR;PVCP;PVCJ;LDCT;LDCQ;LDCN;LDCU;LDCM;LDCZ;COLD;DTZG;DTZS;DTSI;DTSV;DTSF;DTSL;AUTN;ATBD;ATBR;MTC;MISU;MISL;MISP;MISD;MISN;DESO;NSC;STCD;STCC;CDGG;CMPD;CMPN;CMPE;FUR;GPDPX;GPDPY;MUNICIPIO;ID_NIL;NIL;WGS84_Y;WGS84_X;location
v5010-00057;3;2023454.0;R03/ Museo Poldi Pezzoli;olla stamnoide;;;;;;Italia;Lombardia;MI;15146;palazzo;;Palazzo Poldi Pezzoli;Via Alessandro Manzoni 12-14;Museo Poldi Pezzoli;museo;Collezione archeologica del Museo Poldi Pezzoli;sec. IV a.C.;seconda metà;349 a.C.;ca.;300 a.C.;ca.;;;;argilla/ a tornio;cm||;;;17,5||8,5;;"olla stamnoide
Argilla beige-giallastra, vernice bruna all'interno del labbro e sull'orlo; fascia rossiccia (forse lo stesso colore bruno mal conservato) nel punto di massima espansione e sul piede.
Labbro estroflesso carenato, corpo campanulato, fondo piatto. Prese impostate orizzontalmente sotto il labbro.";;2009;integro;detenzione privata;2009;;Museo Poldi Pezzoli;Manoli, Federica;514965.28186000005;5035012.9853;1;1;DUOMO;45.46848385561784;9.191444421164393;(45.46848385561784, 9.191444421164393)
v5010-00117;3;2023514.0;R03/ Museo Poldi Pezzoli;skyphos;Serie Morel 4373;J.-P. Morel, Cèramique campanienne. Les formes. Roma 1981;;;;Italia;Lombardia;MI;15146;palazzo;;Palazzo Poldi Pezzoli;Via Alessandro Manzoni 12-14;Museo Poldi Pezzoli;museo;Collezione archeologica del Museo Poldi Pezzoli;sec. IV a.C.;prima metà;399 a.C.;ca.;350 a.C.;ca.;;;;argilla/ a tornio;cm||;;;7||3,7;;"Corpo ceramico beige; vernice nera opaca diluita. Fondo del piede a risparmio.
Orlo arrotondato, corpo cilindrico con restringimento nella parte terminale; piede ad anello; anse a bastoncello impostato sull'orlo orizzontalmente.";;2009;mutilo;detenzione privata;2009;;Museo Poldi Pezzoli;Manoli, Federica;514965.28186000005;5035012.9853;1;1;DUOMO;45.46848385561784;9.191444421164393;(45.46848385561784, 9.191444421164393)
v5010-00235;3;2023629.0;R03/ Museo Poldi Pezzoli;anello;;;;;;Italia;Lombardia;MI;15146;palazzo;;Palazzo Poldi Pezzoli;Via Alessandro Manzoni 12-14;Museo Poldi Pezzoli;museo;Collezione archeologica del Museo Poldi Pezzoli;sec. I d.C.;prima metà;1 d.C.;ca.;50 d.C.;ca.;;;;oro e corniola;cm;;;15;;anello a castone ovale con verga a nastro che si allarga in corrispondenza del castone;;2009;integro;proprietà privata;2009;;Museo Poldi Pezzoli;Manoli, Federica;514965.28186000005;5035012.9853;1;1;DUOMO;45.46848385561784;9.191444421164393;(45.46848385561784, 9.191444421164393)
v5010-00189;3;2023585.0;R03/ Museo Poldi Pezzoli;cimiero;;;;;;Italia;Lombardia;MI;15146;palazzo;;Palazzo Poldi Pezzoli;Via Alessandro Manzoni 12-14;Museo Poldi Pezzoli;museo;Collezione archeologica del Museo Poldi Pezzoli;secc. V/III a.C.;;499 a.C.;ca.;200 d.C.;ca.;;;;bronzo;cm;;;;19,9;Lamina piatta ritagliata a S che si restringe verso l'alto, punta allargata a triangolo. Quattro ribattini alla base.;;2009;integro;proprietà privata;2009;;Museo Poldi Pezzoli;Manoli, Federica;514965.28186000005;5035012.9853;1;1;DUOMO;45.46848385561784;9.191444421164393;(45.46848385561784, 9.191444421164393)
v5010-00222;3;2023617.0;R03/ Museo Poldi Pezzoli;orecchino;;;;;;Italia;Lombardia;MI;15146;palazzo;;Palazzo Poldi Pezzoli;Via Alessandro Manzoni 12-14;Museo Poldi Pezzoli;museo;Collezione archeologica del Museo Poldi Pezzoli;secc. I/I;;99 a.C.;ca.;99 d.C.;ca.;;;;oro, pasta vitrea e perle;cm;;;;3,4;"orecchino a barretta (crotalia); sopra la barretta orizzontale vi è un castone rotondo contenente una pasta vitrea verde, circondata da una fascia con raggi a rilievo. Nella parte inferiore della barretta sono saldati tre anelli: in quello centrale è saldato un piccolo castone conservato solo parzialmente. Da quelli laterali pendono fili aurei, modellati a morbidi segmenti da cui pende una perla.";;2009;mutilo;proprietà privata;2009;;Museo Poldi Pezzoli;Manoli, Federica;514965.28186000005;5035012.9853;1;1;DUOMO;45.46848385561784;9.191444421164393;(45.46848385561784, 9.191444421164393)
v5010-00192;3;2023588.0;R03/ Museo Poldi Pezzoli;pettorale/ frammenti;;;;;;Italia;Lombardia;MI;15146;palazzo;;Palazzo Poldi Pezzoli;Via Alessandro Manzoni 12-14;Museo Poldi Pezzoli;museo;Collezione archeologica del Museo Poldi Pezzoli;secc. V/IV a.C.;;499 a.C.;ca.;300 a.C.;ca.;;;;bronzo;cm||||;;;;29,4||6,3||8,8;Elementi di pettorale di forma triangolare trilobata composta da tre frammenti con nn. d'inventario 2463 (a-c), assemblati tra loro, e due con nn. d'inventario 2468 (a-b) uniti tra loro. cfr. 2463;;2009;mutilo;proprietà privata;2009;;Museo Poldi Pezzoli;Manoli, Federica;514965.28186000005;5035012.9853;1;1;DUOMO;45.46848385561784;9.191444421164393;(45.46848385561784, 9.191444421164393)
v5010-00312;3;2023703.0;R03/ Museo Poldi Pezzoli;vetro cammeo/ frammento;;;;;;Italia;Lombardia;MI;15146;palazzo;;Palazzo Poldi Pezzoli;Via Alessandro Manzoni 12-14;Museo Poldi Pezzoli;museo;Collezione archeologica del Museo Poldi Pezzoli;secc. I/I;;50 a.C.;ca.;100 d.C.;ca.;;;;vetro a due strati;cm;2,4;;;;Vetro a due strati: quello superiore bianco e quello inferiore blu.;;2009;integro;proprietà privata;2009;;Museo Poldi Pezzoli;Manoli, Federica;514965.28186000005;5035012.9853;1;1;DUOMO;45.46848385561784;9.191444421164393;(45.46848385561784, 9.191444421164393)
v5010-00213;3;2023608.0;R03/ Museo Poldi Pezzoli;orecchino;;;;;;Italia;Lombardia;MI;15146;palazzo;;Palazzo Poldi Pezzoli;Via Alessandro Manzoni 12-14;Museo Poldi Pezzoli;museo;Collezione archeologica del Museo Poldi Pezzoli;secc. IV/III a.C.;;320 a.C.;ca.;250 a.C.;ca.;;;;oro;cm;;;;4,7;"Orecchino a disco con pendente; disco in lamina sormontato da una palmetta e ornato da una rosetta a filigrana con dodici petali. Da un anello saldato presso il bordo pende un erote realizzato a sbalzo, dotato di ali e con bretelle incrociate sul petto. L'erote tiene in una mano una maschera, nell'altra una patera.";;2009;mutilo;proprietà privata;2009;;Museo Poldi Pezzoli;Manoli, Federica;514965.28186000005;5035012.9853;1;1;DUOMO;45.46848385561784;9.191444421164393;(45.46848385561784, 9.191444421164393)
v5010-00065;3;2023462.0;R03/ Museo Poldi Pezzoli;olla;;;;;;Italia;Lombardia;MI;15146;palazzo;;Palazzo Poldi Pezzoli;Via Alessandro Manzoni 12-14;Museo Poldi Pezzoli;museo;Collezione archeologica del Museo Poldi Pezzoli;secc. V/IV a.C.;fine/inizio;425 a.C.;ca.;375 a.C.;ca.;;;;argilla/ a tornio;cm||;;;20||8;;olla subgeometrica;;2009;integro;detenzione privata;2009;;Museo Poldi Pezzoli;Manoli, Federica;514965.28186000005;5035012.9853;1;1;DUOMO;45.46848385561784;9.191444421164393;(45.46848385561784, 9.191444421164393)
v5010-00181;3;2023577.0;R03/ Museo Poldi Pezzoli;morso equino;;;;;;Italia;Lombardia;MI;15146;palazzo;;Palazzo Poldi Pezzoli;Via Alessandro Manzoni 12-14;Museo Poldi Pezzoli;museo;Collezione archeologica del Museo Poldi Pezzoli;secc. VIII/VII a.C.;;799 a.C.;ca.;600 a.C.;ca.;;;;bronzo;cm;9;;3,2;16,2;"Morso con montanti ad arco.
Filetto snodato liscio a sezione circolare con estremità ad anello, montanti terminanti a capocchia conica con passanti rettangolari. Campanello ad anello.";;2009;integro;proprietà privata;2009;;Museo Poldi Pezzoli;Manoli, Federica;514965.28186000005;5035012.9853;1;1;DUOMO;45.46848385561784;9.191444421164393;(45.46848385561784, 9.191444421164393)
v5010-00129;3;2023526.0;R03/ Museo Poldi Pezzoli;anfora;Dressel 6A;;;;;Italia;Lombardia;MI;15146;palazzo;;Palazzo Poldi Pezzoli;Via Alessandro Manzoni 12-14;Museo Poldi Pezzoli;museo;Collezione archeologica del Museo Poldi Pezzoli;sec. I d.C.;seconda metà;50 d.C.;ca.;99 d.C.;ca.;;;;argilla;cm;;;16;;Orlo estroflesso, collo cilindrico, spalle oblique, corpo piriforme, puntale troncoconico. Anse flesse.;;2009;integro;detenzione privata;2009;;Museo Poldi Pezzoli;Manoli, Federica;514965.28186000005;5035012.9853;1;1;DUOMO;45.46848385561784;9.191444421164393;(45.46848385561784, 9.191444421164393)
v5010-00074;3;2023471.0;R03/ Museo Poldi Pezzoli;cratere a campana;;;;;;Italia;Lombardia;MI;15146;palazzo;;Palazzo Poldi Pezzoli;Via Alessandro Manzoni 12-14;Museo Poldi Pezzoli;museo;Collezione archeologica del Museo Poldi Pezzoli;sec. IV a.C.;primo quarto;399 a.C.;ca.;375 a.C.;ca.;Pittore di Tarporley;;;argilla/ a tornio;cm||;;;36,5||15,8;;"Orlo ingrossato, labbro estroflesso, corpo campaniforme, alto piede con base cilindrica cava. Anse a bastoncello impostate orizzontalmente sul corpo.
Corpo ceramico nocciola, ingobbio rossiccio; vernice arancio rossiccio, vernice nera lucente poco compatta.";;2009;integro;detenzione privata;2009;;Museo Poldi Pezzoli;Manoli, Federica;514965.28186000005;5035012.9853;1;1;DUOMO;45.46848385561784;9.191444421164393;(45.46848385561784, 9.191444421164393)
v5010-00090;3;2023487.0;R03/ Museo Poldi Pezzoli;kantharos;;;;;;Italia;Lombardia;MI;15146;palazzo;;Palazzo Poldi Pezzoli;Via Alessandro Manzoni 12-14;Museo Poldi Pezzoli;museo;Collezione archeologica del Museo Poldi Pezzoli;sec. VI a.C.;seconda metà;550 a.C.;ca.;500 a.C.;ca.;;;;argilla/ a tornio;cm||;;;10,4||4,7;;"Corpo ceramico beige, ingobbio nocciola, vernice rossa-arancio.
Labbro estroflesso, bocca rotonda, corpo cilindrico, alto piede su base troncoconica con modanature. Anse sormontanti impostate sull'orlo e sul corpo. Fondo con tre rientranze.";;2009;ricomposto;detenzione privata;2009;;Museo Poldi Pezzoli;Manoli, Federica;514965.28186000005;5035012.9853;1;1;DUOMO;45.46848385561784;9.191444421164393;(45.46848385561784, 9.191444421164393)
v5010-00127;3;2023524.0;R03/ Museo Poldi Pezzoli;kotyle;;;;;;Italia;Lombardia;MI;15146;palazzo;;Palazzo Poldi Pezzoli;Via Alessandro Manzoni 12-14;Museo Poldi Pezzoli;museo;Collezione archeologica del Museo Poldi Pezzoli;sec. VI a.C.;secondo quarto;570 a.C.;ca.;550 a.C.;ca.;;;;bronzo;;;;2;;"Argilla beige; decorazione bruna e nera. Contorni graffiti.
Orlo rientrante, vasca a profilo convesso rastremata verso il basso. Anse a bastoncello impostate orizzontalmente appena al di sotto dell'orlo; piede svasato con leggera risega presso l'attacco con la vasca.";;2009;parzialmente ricomposto;detenzione privata;2009;;Museo Poldi Pezzoli;Manoli, Federica;514965.28186000005;5035012.9853;1;1;DUOMO;45.46848385561784;9.191444421164393;(45.46848385561784, 9.191444421164393)
v5010-00341;3;2023732.0;R03/ Museo Poldi Pezzoli;lucerna;;;;;;Italia;Lombardia;MI;15146;palazzo;;Palazzo Poldi Pezzoli;Via Alessandro Manzoni 12-14;Museo Poldi Pezzoli;museo;Collezione archeologica del Museo Poldi Pezzoli;sec. IV-VI d.C.;;300 d.C.;ca.;599 d.C.;ca.;;;;bronzo;cm||;;;3,5||2,5;23||;"Lucerna bilicne.
corpo lenticolare, foro di alimentazione rotondo dotato in origine di coperchio a cerniera, doppio beccuccio, piede circolare concavo. Ansa a forma di fiore di loto a sei petali; all'attacco con il corpo, fiore rovesciato.
Su tre lati chrisma a rilievo.";;2009;mutilo;proprietà privata;2009;;Museo Poldi Pezzoli;Manoli, Federica;514965.28186000005;5035012.9853;1;1;DUOMO;45.46848385561784;9.191444421164393;(45.46848385561784, 9.191444421164393)
v5010-00123;3;2023520.0;R03/ Museo Poldi Pezzoli;balsamario;;;;;;Italia;Lombardia;MI;15146;palazzo;;Palazzo Poldi Pezzoli;Via Alessandro Manzoni 12-14;Museo Poldi Pezzoli;museo;Collezione archeologica del Museo Poldi Pezzoli;secc. I/I;;30 a.C.;ca.;50 d.C.;ca.;;;;vetro a soffiatura;;;;;;"Vetro azzurro.
Labbro estroflesso con orlo tagliato e arrotondato, collo cilindrico con strozzatura alla base, corpo piriforme, fondo piano apodo.";;2009;mutilo;detenzione privata;2009;;Museo Poldi Pezzoli;Manoli, Federica;514965.28186000005;5035012.9853;1;1;DUOMO;45.46848385561784;9.191444421164393;(45.46848385561784, 9.191444421164393)
v5010-00114;3;2023511.0;R03/ Museo Poldi Pezzoli;lebes gamikos;Tipo Morel 4432b;J.-P. Morel, Cèramique campanienne. Les formes. Roma 1981;;;;Italia;Lombardia;MI;15146;palazzo;;Palazzo Poldi Pezzoli;Via Alessandro Manzoni 12-14;Museo Poldi Pezzoli;museo;Collezione archeologica del Museo Poldi Pezzoli;sec. IV a.C.;seconda metà;349 a.C.;ca.;300 a.C.;ca.;;;;argilla/ a tornio;cm;;;3;;"Corpo ceramico beige, vernice nera abbastanza lucente, piede a risparmio.
Orlo dall'imboccatura stretta verticale, corpo ovoide, spalla orizzontale arrotondata, basso piede campanulato. Anse a bastoncello impostate verticalmente sulle spalle.";;2009;mutilo;detenzione privata;2009;;Museo Poldi Pezzoli;Manoli, Federica;514965.28186000005;5035012.9853;1;1;DUOMO;45.46848385561784;9.191444421164393;(45.46848385561784, 9.191444421164393)
v5010-00158;3;2023555.0;R03/ Museo Poldi Pezzoli;punta di lancia;;;;;;Italia;Lombardia;MI;15146;palazzo;;Palazzo Poldi Pezzoli;Via Alessandro Manzoni 12-14;Museo Poldi Pezzoli;museo;Collezione archeologica del Museo Poldi Pezzoli;secc. XIII/XI a.C.;;1299 a.C.;ca.;1000 a.C.;ca.;;;;bronzo;cm;2,5;;2;11,6;"Cuspide con lama a foglia di alloro, costolatura mediana marcata a sezione arrotondata e alette; immanicatura a cannone con fori per fissaggio nella parte mediana.";;2009;mutilo;proprietà privata;2009;;Museo Poldi Pezzoli;Manoli, Federica;514965.28186000005;5035012.9853;1;1;DUOMO;45.46848385561784;9.191444421164393;(45.46848385561784, 9.191444421164393)
v5010-00197;3;2023593.0;R03/ Museo Poldi Pezzoli;fibula;a grandi coste;;;;;Italia;Lombardia;MI;15146;palazzo;;Palazzo Poldi Pezzoli;Via Alessandro Manzoni 12-14;Museo Poldi Pezzoli;museo;Collezione archeologica del Museo Poldi Pezzoli;secc. VIII/VII a.C.;;750 a.C.;ca.;680 a.C.;ca.;;;;bronzo;cm;;;;5,2;"Fibula a grandi coste con arco massiccio; molla di forma troncoconica, staffa a sezione pentagonale decorata da linee oblique incise.";;2009;mutilo;proprietà privata;2009;;Museo Poldi Pezzoli;Manoli, Federica;514965.28186000005;5035012.9853;1;1;DUOMO;45.46848385561784;9.191444421164393;(45.46848385561784, 9.191444421164393)
v5010-00006;3;2023403.0;R03/ Museo Poldi Pezzoli;statuetta femminile;;;;;;Italia;Lombardia;MI;15146;palazzo;;Palazzo Poldi Pezzoli;Via Alessandro Manzoni 12-14;Museo Poldi Pezzoli;museo;Collezione archeologica del Museo Poldi Pezzoli;sec. V a.C.;prima metà;499 a.C.;ca.;450 a.C.;ca.;;;;argilla/ a matrice;cm;4,2;;;;Statuetta femminile seduta;;2009;integro;detenzione privata;2009;;Museo Poldi Pezzoli;Manoli, Federica;514965.28186000005;5035012.9853;1;1;DUOMO;45.46848385561784;9.191444421164393;(45.46848385561784, 9.191444421164393)
v5010-00084;3;2023481.0;R03/ Museo Poldi Pezzoli;olletta monoansata;;;;;;Italia;Lombardia;MI;15146;palazzo;;Palazzo Poldi Pezzoli;Via Alessandro Manzoni 12-14;Museo Poldi Pezzoli;museo;Collezione archeologica del Museo Poldi Pezzoli;sec. VI a.C.;seconda metà;550 a.C.;ca.;500 a.C.;ca.;;;;argilla/ a tornio;cm||;;;7,8||4,8;;"Corpo ceramico beige, vernice bruno.
Labbro estroflesso, bocca rotonda, breve spalla obliqua, corpo piriforme, piede a disco. Ansa a nastro impostata verticalmente sull'orlo e sulla spalla.";;2009;integro;detenzione privata;2009;;Museo Poldi Pezzoli;Manoli, Federica;514965.28186000005;5035012.9853;1;1;DUOMO;45.46848385561784;9.191444421164393;(45.46848385561784, 9.191444421164393)
v5010-00179;3;2023575.0;R03/ Museo Poldi Pezzoli;morso equino;;;;;;Italia;Lombardia;MI;15146;palazzo;;Palazzo Poldi Pezzoli;Via Alessandro Manzoni 12-14;Museo Poldi Pezzoli;museo;Collezione archeologica del Museo Poldi Pezzoli;sec. VIII a.C.;;799 a.C.;ca.;700 a.C.;ca.;;;;bronzo;cm;;;3,8;18,9;Filetto snodato a sezione circolare con estremità ad anello;;2009;integro;proprietà privata;2009;;Museo Poldi Pezzoli;Manoli, Federica;514965.28186000005;5035012.9853;1;1;DUOMO;45.46848385561784;9.191444421164393;(45.46848385561784, 9.191444421164393)
v5010-00142;3;2023539.0;R03/ Museo Poldi Pezzoli;elmo ellenistico;Tipo 405;P. Dintsis, Hellenistische Helme, Roma 1986;;;;Italia;Lombardia;MI;15146;palazzo;;Palazzo Poldi Pezzoli;Via Alessandro Manzoni 12-14;Museo Poldi Pezzoli;museo;Collezione archeologica del Museo Poldi Pezzoli;secc. IV/III a.C.;fine/inizio;320 a.C.;ca.;280 a.C.;ca.;;;;bronzo;cm;;;21,3;;"Calotta ogivale, tesa distinta risalente a punta sulla fronte con bordo decorato da brevi incisioni; la fronte è segnata da un motivo a v rovesciata; apertura per le orecchie a forma di u rovesciata. Paranuca con orlo arrotondato, leggermente rialzato. Paragnatidi anatomiche mobili, collegate all'elmo mediante cerniere, fissate con tre ribattini, hanno orlo arrotondato.
Alla sommità attacchi, mal conservati, per i pennacchi.";;2009;parzialmente ricomposto;proprietà privata;2009;;Museo Poldi Pezzoli;Manoli, Federica;514965.28186000005;5035012.9853;1;1;DUOMO;45.46848385561784;9.191444421164393;(45.46848385561784, 9.191444421164393)
v5010-00183;3;2023579.0;R03/ Museo Poldi Pezzoli;ghianda missile;;;;;;Italia;Lombardia;MI;15146;palazzo;;Palazzo Poldi Pezzoli;Via Alessandro Manzoni 12-14;Museo Poldi Pezzoli;museo;Collezione archeologica del Museo Poldi Pezzoli;secc. II /III a.C./d.C.;;199 a.C.;ca.;299 d.C.;ca.;;;;piombo;cm||||||;;;;3,6||3,2||2,6||3,1;Quattro ghiande missili di forma ovoidale appuntita.;;2009;integro;proprietà privata;2009;;Museo Poldi Pezzoli;Manoli, Federica;514965.28186000005;5035012.9853;1;1;DUOMO;45.46848385561784;9.191444421164393;(45.46848385561784, 9.191444421164393)
